@English@|@Papiamento@
@veil@|@wal@
@vein@|@ader, bena@
@vend@|@bende@
@Venezuela@|@Benezuela@
@Venezuelan@|@benesolanu, venezolana@
@vengeance@|@revancha@
@ventilator@|@fèn, vèn@
@venture@|@riska@
@Venus@|@Venus@
@veranda@|@veranda@
@verb@|@verbo@
@verdict@|@sentensha, sentensia@
@vermmouth@|@vermut@
@vermouth@|@vermut@
@vertical@|@vertikal@
@very@|@altamente, hopi, marsha, mashá@
@very big@|@grandísimo@
@very good@|@hopi bon, tremendo, tremiento@
@very hot@|@hopi calor@
@very much@|@altamente, hopi, marsha, mashá@
@very old lady@|@mai@
@very rich@|@riquísimo@
@very warm@|@hopi caliente@
@very well@|@ekselentemente@
@vessel@|@bapor, pòchi, vas@
@veteran@|@veterano@
@vibrate@|@vibra@
@victim@|@víktima@
@victory@|@viktoria@
@Vienna@|@Viena@
@Vietnam@|@Viètnam@
@view@|@aspekto, bista, panorama, wak, weita, weta@
@vigour@|@aktividat, forsa, fortalesa@
@vile@|@baho@
@villa@|@kinta, vila@
@village@|@pueblo@
@vinegar@|@binager@
@violet@|@lila@
@violin@|@fió@
@viper@|@vibora@
@virgin@|@bírgen, señorita, vírgen@
@virility@|@hòmbresa@
@virus@|@virus@
@visa@|@visa@
@visé@|@visa@
@visible@|@visibel@
@visit@|@bishita@
@vitamin@|@vitamina@
@vocabulary@|@dikshonario@
@voice@|@bos, boto, vos, voto@
@void@|@bashí@
@volcano@|@volkan@
@Volt@|@volt@
@volume@|@volüm@
@voluntary@|@boluntariamente@
@vomit@|@arohá, saka@
@vote@|@bos, bota, vota@
@vowel@|@bokal, vokal@
@voyage@|@bia, biaha@
@wage@|@ganamentu, salario, sueldo@
@wager@|@bèt, pusta@
@wages@|@ganamentu, salario, sueldo@
@waist@|@taya@
@waistline@|@taya@
@wait@|@spera, warda@
@wait for@|@warda@
@waiter@|@weiter, weter@
@wake@|@spierta@
@wake up@|@spierta@
@walk@|@camna, cana@
@wall@|@muraya@
@wallet@|@pòtmòni@
@walrus@|@walrús@
@want@|@antoho, deseo, kiè, kier@
@war@|@guera@
@warlock@|@tovernar (1)@
@warm@|@kayente, kordial@
@warmth@|@kayente@
@warrior@|@guerero@
@wart@|@frèt@
@wasp@|@maribomba@
@waste@|@drispidí@
@watapana tree@|@dididivi@
@watch@|@oloshi, wak, weita, weta@
@water@|@awa@
@water-melon@|@patia@
@watt@|@watt@
@wave@|@ola@
@wax@|@was@
@way@|@bisio, kostumber, manera, modo@
@way (1)@|@kaminda, karetera, moda@
@way out@|@salida@
@we@|@anos, nos@
@weak@|@debil, suak@
@wealth@|@rikesa@
@wealthy@|@riko, riku@
@weather@|@tempu@
@Wednesday@|@dia rason, djarason@
@week-end@|@wikènt@
@weep@|@yora@
@weight@|@peso@
@weiter@|@weter@
@welcome@|@Bon bini@
@Welcome!@|@bonbini!@
@well@|@bon, salú, saludabel@
@well-known@|@konosí@
@well-mannered@|@galante, gentil@
@well-off@|@riko, riku@
@wench@|@check, mucha mohé@
@west@|@oksidente@
@western@|@oksidental@
@wet@|@muha, muhá@
@whale@|@bayena@
@wharf@|@waf@
@what@|@kí, kíko@
@what a@|@kon@
@what for@|@di cón, pakíko@
@what kind of@|@kí@
@what sort of@|@kí@
@What?@|@kiko@
@What's your name?@|@con yama bo?@
@wheel@|@rim, wil@
@wheeziness@|@asma@
@wheezy@|@asmátiko@
@when@|@ki aña, ki día, ki ora, ki tempu@
@where@|@na únda, unda@
@Where do you come from?@|@di unda bo ta bini?@
@where is my room?@|@Unda mi kamber ta?@
@Where is the bar?@|@Unda e bar ta?@
@Where is the beach?@|@Unda e playa ta?@
@where to@|@na únda, unda@
@whereas@|@durante, miéntras@
@which@|@cuá, ken, kende, ki, kua@
@Which?@|@Cua?@
@while@|@tempo, tempu@
@whilst@|@durante, miéntras@
@whim@|@zuip@
@whip@|@zuip@
@whiskey@|@wiski@
@whisper@|@kuchikuchi@
@white@|@blancu, blanko, blanku@
@white person@|@makamba@
@whither@|@na únda, unda@
@Whitsunday@|@Pentekòste@
@who@|@cuá, kén, kénde@
@whole@|@enté, enter, hende, henté, hèntèr, tur@
@whore@|@mohé di bida, mohen dibida, puta@
@why@|@di cón, pakiko, pakíko@
@why?@|@dikon@
@Why?@|@di cón, pakiko@
@widow@|@biuda@
@widower@|@biudo@
@width@|@anchura, hanchura@
@wife@|@esposa, kasá, señora@
@wig@|@peluka@
@wild@|@brabu@
@will@|@boluntat, téstamènt@
@willingly@|@gustosamente@
@willingness@|@boluntat@
@win@|@gana@
@win over@|@vense@
@wind@|@biento, bientu@
@wind up@|@hisa, isa@
@window@|@bentana, lokèt@
@window-frame@|@kosein, kosèn@
@wine@|@biña@
@wing@|@ala@
@winter@|@invierno, tempu di friu@
@wire@|@waya@
@wireless@|@radio@
@wish@|@antoho, boluntat, deseo, ke, kiè, kier@
@with@|@cu, ku, pa medio di@
@with me@|@cu mi@
@with the exception of@|@eksepto@
@with young@|@dek@
@within@|@den, na (1)@
@without@|@sin@
@without a name@|@anónimo@
@witness@|@testigo, testigu@
@wizard@|@tovernar (1)@
@wolf@|@lobo, wòlf@
@woman@|@mohé, muhé, muher@
@wonder@|@asombro@
@wonted@|@gewon, hewon, komun, usual(1), uza@
@wood@|@palo, palu@
@woods@|@mondi@
@wool@|@lana@
@word@|@palabra@
@work@|@labor, obra, trabou, traha@
@work hard@|@puluwé@
@work out@|@rek@
@workbench@|@stal@
@worker@|@obrero, trahadó@
@working man@|@trahadó(1)@
@workman@|@obrero, trahadó(1)@
@world@|@mundo, mundu@
@worldwide@|@univèrsal@
@worm@|@bichi@
@worry@|@sorù@
@worshiper@|@adoradó@
@worth@|@baló, balor, kariño@
@wound@|@erida, herida, heridá, hùrt@
@wrangle@|@pleita@
@wreathe@|@flèktu, vlèkt, vlèktu@
@wrench@|@yabi@
@wrestle@|@lucha@
@wretched@|@miserabel@
@write down@|@nota@
@Write me soon!@|@Corda skribi mi bek!@
@writer@|@autor, eskritor@
@writer (woman)@|@eskritora@
@yak@|@yak@
@yard@|@curá, yarda@
@yatch@|@yate@
@yawn@|@hao, hap@
@ye@|@abo, aboso, bo@
@year@|@aña@
@yearly@|@anual@
@yearn@|@anhelá@
@yell@|@grita@
@yellow@|@geel, gel, hel@
@yes@|@si, sí@
@yesterday@|@ayera@
@yet@|@aínda, ya@
@yoga@|@yoga@
@yoke@|@yugo@
@yon@|@aya@
@yonder@|@aya@
@you@|@abo, aboso, bo@
@you gave me the book@|@bo a dunami e buki@
@young@|@hoben, yiu, yòn@
@young man@|@hobensito@
@young woman@|@hobensita@
@youngster@|@hoben, hobensito, hobensitu@
@your@|@bo, boso@
@you're welcome@|@di nada@
@youth@|@hoben, hobensito, hobensitu, hubentut@
@yule@|@Pasko, Pasku@
@Zambia@|@Zambia@
@zeal@|@fervor@
@Zealand@|@Zelandia@
@zebra@|@zebra@
@zero@|@sero, zero@
@zest@|@ánimo@
@zinc@|@zim@
@zipper@|@zip, ziper@
@zodiac@|@zodiak@
@zone@|@zona@
@zoo@|@hardin zoológiko@
@zoology@|@zoologia@

